Name,Address,Latitude,Longitude,Primary Surface,Secondary Surface,Owner,Number of Courts,Lights/No Lights,Pickleball Lines,Indoor/Outdoor,Public/Private,City,Tennis Club Name,Club Website,Membership,Winter Play,Phone,Type,Public City URL,Indoor Court Type,Notes,Operating Season,Public Hours Monday,Public Hours Tuesday,Public Hours Wednesday,Public Hours Thursday,Public Hours Friday,Public Hours Saturday,Public Hours Sunday,Public Hours Holidays,Public Hours Verified
Agincourt Park,"31 Glen Watford Dr, Scarborough, ON M1S 2E2",43.78825337,-79.27404051,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,Scarborough,Agincourt Tennis Club,http://www.agincourttennisclub.ca,Open,No,311,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2341,,,Summer,,4 p.m. - 6 p.m.,,4 p.m. - 6 p.m.,,,2 p.m. - 4 p.m.,2 p.m. - 4 p.m.,
Alamosa Park,"111 Alamosa Dr, Toronto, ON M2J 2N9",43.78105024,-79.36911185,Hardcourt-Acrylic,,City of Toronto,3,No Lights,No,Outdoor,Private with some public hours,Toronto,Bridlebrook Tennis Club,https://www.bridlebrooktennisclub.org/,Open,No,416-496-0225,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1044,,,Summer,,,,,,3 p.m. - 6 p.m.,3 p.m. - 6 p.m.,,2026
Albion Gardens Park,"41 Deanlea Ct, Etobicoke, ON M9V 2R5",43.73931648,-79.55869606,Hardcourt-Acrylic,,City of Toronto,3,Lights,3,Outdoor,Public,Etobicoke,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=923,,,Summer,,,,,,,,,
Amesbury Park,"155 Culford Rd, North York, ON M6M 4K6",43.70536104,-79.48684552,Hardcourt-Asphalt,,City of Toronto,2,No Lights,1,Outdoor,Public,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=484,,,Summer,,,,,,,,,
Ancaster Park,"43 Ancaster Rd, North York, ON M3K 1K8",43.73386288,-79.46557286,Hardcourt-Asphalt,,City of Toronto,3,No Lights,1,Outdoor,Public,North York,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=491,,,Summer,,,,,,,,,
Angela James Arena & Tennis Courts,"165 Grenoble Dr, North York, ON M3C 1C1",43.71307487,-79.32781369,Hardcourt-Asphalt,,City of Toronto,4,Lights,4,Outdoor,Public,North York,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=582,,,Summer,,,,,,,,,
Antibes Community Centre,"140 Antibes Dr, North York, ON M2R 3J3",43.7811111,-79.44670355,Hardcourt-Asphalt,,City of Toronto,1,No Lights,1,Outdoor,Public,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=42,,,Summer,,,,,,,,,
Banbury Park,"120 Banbury Rd, North York, ON M3B 2L3",43.74287046,-79.36968288,Hardcourt-Acrylic,,City of Toronto,4,Lights,No,Outdoor,Private with some public hours,North York,Banbury Tennis Club,http://www.banburytennisclub.net,Open,No,416-443- 0941,Club,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2113,,,Summer,,,,,,2 p.m. - 5 p.m.,2 p.m. - 5 p.m.,,2026
Baycrest Park,"160 Neptune Dr, North York, ON M6A 1X4",43.72874409,-79.44396954,Hardcourt-Asphalt,,City of Toronto,2,Lights,2,Outdoor,Public,North York,,,,Yes,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=513,,,Summer,,,,,,,,,
Bayview Village Park,"2945 Bayview Ave, North York, ON M2K 1L6",43.77334023,-79.38882951,Hardcourt-Asphalt,,City of Toronto,3,No Lights,1,Outdoor,Public,North York,,,,No,311,Public,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=517,,,Summer,,,,,,,,,
